gene_id,gene_name,entrez_id,gene_type,logFC,logCPM,F,PValue,FDR
ENSG00000214575,CPEB1,64506,protein_coding,0.1813248,-1.522544013,0.552185536,0.459249199,0.520936275
ENSG00000261499,ENSG00000261499,NA,unprocessed_pseudogene,-0.10868282,0.21752476,0.552230828,0.459292874,0.520956229
ENSG00000289970,ENSG00000289970,NA,lncRNA,-0.155768248,-1.026632262,0.552223226,0.459319869,0.520957262
ENSG00000266993,ENSG00000266993,NA,lncRNA,-0.121254489,-0.514940556,0.551507216,0.459592197,0.521236534
ENSG00000143369,ECM1,1893,protein_coding,0.118552887,-0.123127071,0.551113654,0.459745751,0.521381077
ENSG00000204882,GPR20,2843,protein_coding,-0.19710847,-0.225813894,0.550797621,0.45980148,0.521414669
ENSG00000276410,H2BC3,3018,protein_coding,0.144868268,0.390144545,0.550789368,0.459874614,0.521467994
ENSG00000115590,IL1R2,7850,protein_coding,0.127863796,5.60720515,0.550333771,0.460055344,0.521643314
ENSG00000139112,GABARAPL1,23710,protein_coding,-0.065054109,5.489025218,0.550220927,0.460101212,0.521665706
ENSG00000104299,INTS9,55756,protein_coding,0.040086163,4.014148422,0.549331331,0.460463088,0.522046367
ENSG00000170876,TMEM43,79188,protein_coding,0.044521307,6.811704652,0.549201493,0.460515909,0.522067858
ENSG00000256811,ENSG00000256811,NA,lncRNA,0.182917874,-1.356351508,0.549213985,0.460534324,0.522067858
ENSG00000168903,BTNL3,10917,protein_coding,0.123462645,2.066922294,0.549624547,0.460777403,0.522313769
ENSG00000290008,ENSG00000290008,NA,lncRNA,-0.148051902,-1.130694849,0.547916846,0.461075376,0.522621873
ENSG00000278863,ENSG00000278863,NA,TEC,-0.130640253,0.08815831,0.547256383,0.461314331,0.522863051
ENSG00000289350,ENSG00000289350,NA,lncRNA,0.195819302,-1.040340037,0.546071157,0.461822301,0.52340909
ENSG00000185298,CCDC137,339230,protein_coding,-0.035368474,4.286224115,0.545915144,0.461856867,0.523418564
ENSG00000131381,RBSN,64145,protein_coding,-0.030542634,4.305720344,0.545615575,0.461979405,0.523527728
ENSG00000280353,ENSG00000280353,NA,TEC,0.116757707,0.093252275,0.545412026,0.462068471,0.523598951
ENSG00000163728,TTC14,151613,protein_coding,0.056328994,5.802697808,0.545266824,0.462122126,0.523630041
ENSG00000112290,WASF1,8936,protein_coding,0.10310283,0.42780474,0.545069996,0.462205644,0.523694964
ENSG00000252914,RNU6-789P,106479915,snRNA,-0.173162138,-1.570999036,0.544004913,0.462509745,0.524009793
ENSG00000133835,HSD17B4,3295,protein_coding,-0.031639142,5.769084881,0.544024947,0.46263095,0.524117382
ENSG00000261691,ENSG00000261691,NA,lncRNA,-0.2232366,-1.569559977,0.543471222,0.462754544,0.524227666
ENSG00000212534,SNORD70,692110,snoRNA,-0.188060237,-1.332778239,0.543302797,0.462956376,0.524426563
ENSG00000212306,Y_RNA.50,NA,misc_RNA,-0.195137695,-1.667101607,0.542746228,0.463084588,0.524542048
ENSG00000189091,SF3B3,23450,protein_coding,-0.039661828,7.147614393,0.542691649,0.463178231,0.524618365
ENSG00000135317,SNX14,57231,protein_coding,-0.056551212,5.057577547,0.541892803,0.463506636,0.524960561
ENSG00000148154,UGCG,7357,protein_coding,0.047547646,5.148801309,0.541824822,0.4635346,0.524962462
ENSG00000230068,CDC42-IT1,NA,lncRNA,-0.092817892,1.807993498,0.540822694,0.463947635,0.52540044
ENSG00000169738,DCXR,51181,protein_coding,0.052856001,4.438319504,0.54019422,0.464206179,0.525663424
ENSG00000161912,ADCY10P1.1,NA,transcribed_unprocessed_pseudogene,0.107340386,1.683019393,0.540044874,0.464268336,0.525704003
ENSG00000127191,TRAF2,7186,protein_coding,-0.038510076,4.557712708,0.5396451,0.464432671,0.52586027
ENSG00000107938,EDRF1,26098,protein_coding,-0.02957016,5.046393528,0.539284813,0.464581378,0.525998825
ENSG00000271918,ENSG00000271918,NA,lncRNA,-0.086895442,0.316036289,0.538937614,0.464727692,0.526134655
ENSG00000261758,STAG1-DT,119139906,lncRNA,-0.132722677,-0.92416062,0.538257669,0.465033024,0.526410757
ENSG00000107758,PPP3CB,5532,protein_coding,0.026796073,5.597809949,0.538143302,0.46505305,0.526410757
ENSG00000150093,ITGB1,3688,protein_coding,0.042636212,7.87385908,0.538090105,0.465075049,0.526410757
ENSG00000261766,ENSG00000261766,NA,lncRNA,-0.131285043,-0.365184151,0.538102269,0.465081161,0.526410757
ENSG00000151093,OXSM,54995,protein_coding,-0.059234584,1.987098616,0.538022566,0.465103355,0.526410757
ENSG00000133794,BMAL1,406,protein_coding,0.040366012,5.611543721,0.53781181,0.465190167,0.526479176
ENSG00000236709,DAPK1-IT1,100506897,lncRNA,-0.162889078,-0.501613972,0.537397754,0.465380776,0.526665053
ENSG00000279631,ENSG00000279631,NA,TEC,-0.078120892,1.532399597,0.536729666,0.465638911,0.526918417
ENSG00000287214,ENSG00000287214,NA,lncRNA,-0.106159809,1.423017953,0.536685092,0.465657423,0.526918417
ENSG00000255198,SNHG9,NA,lncRNA,0.12888158,-0.575413252,0.536159847,0.46589138,0.527153285
ENSG00000256351,ENSG00000256351,NA,processed_pseudogene,-0.156288503,-0.96125739,0.535760779,0.466068727,0.527324078
ENSG00000253755,IGHGP,NA,IG_C_pseudogene,-0.1825547,-0.37913472,0.534842799,0.466243209,0.527491609
ENSG00000260526,AP1AR-DT,NA,lncRNA,-0.133242814,-1.212153444,0.534462541,0.466618087,0.527885829
ENSG00000260470,ENSG00000260470,NA,lncRNA,-0.142517282,-0.94180253,0.533324513,0.467002237,0.528290495
ENSG00000237359,ENSG00000237359,NA,lncRNA,0.100304633,0.131150224,0.533130936,0.467138674,0.528414907
ENSG00000254718,ENSG00000254718,101927702,lncRNA,0.116953094,-0.312394527,0.532767629,0.46729437,0.52856109
ENSG00000216895,RBM33-DT,100506302,lncRNA,-0.068954823,1.441893361,0.53173095,0.467717703,0.529009965
ENSG00000289826,ENSG00000289826,NA,lncRNA,0.181185987,-0.25098373,0.540259317,0.467893435,0.529163334
ENSG00000183208,GDPGP1,390637,protein_coding,-0.061702683,2.155509733,0.531278408,0.467906293,0.529163334
ENSG00000204394,VARS1,7407,protein_coding,-0.051185724,5.818661019,0.530704615,0.468145722,0.529404132
ENSG00000119508,NR4A3,8013,protein_coding,0.125888321,-0.455690709,0.530384695,0.468294143,0.529509569
ENSG00000187994,RINL,126432,protein_coding,0.030730356,5.276020003,0.530302732,0.468313753,0.529509569
ENSG00000288996,ENSG00000288996,NA,lncRNA,0.158622244,-1.341471449,0.530386813,0.468318497,0.529509569
ENSG00000256751,PLBD1-AS1,101928290,lncRNA,0.098841741,3.245060118,0.530126818,0.468387453,0.529557556
ENSG00000131153,GINS2,51659,protein_coding,0.131469481,-0.34777636,0.529955433,0.468472021,0.529623186
ENSG00000166197,NOLC1,9221,protein_coding,-0.057060806,5.71116558,0.529771305,0.468536096,0.529665643
ENSG00000288917,ENSG00000288917,NA,lncRNA,-0.149735762,-1.101854699,0.529784091,0.46856527,0.529668642
ENSG00000138411,HECW2,57520,protein_coding,-0.106303165,2.761504517,0.529252339,0.468753601,0.529851543
ENSG00000136100,VPS36,51028,protein_coding,-0.031270436,5.56014211,0.528754168,0.468962133,0.530057257
ENSG00000132950,ZMYM5,9205,protein_coding,0.031167247,4.085551823,0.526307189,0.469989672,0.531188598
ENSG00000130312,MRPL34,64981,protein_coding,-0.05685087,3.575332692,0.525365364,0.470386177,0.531604641
ENSG00000136738,STAM,8027,protein_coding,0.02872052,4.316684391,0.525306253,0.470411016,0.531604641
ENSG00000078668,VDAC3,7419,protein_coding,0.033031043,5.505814227,0.525023444,0.470530168,0.531709207
ENSG00000270062,ENSG00000270062,NA,lncRNA,-0.064959429,1.538673481,0.5249048,0.470580762,0.53173201
ENSG00000197355,UAP1L1,91373,protein_coding,0.071173254,4.604958166,0.524849274,0.470603596,0.53173201
ENSG00000151552,QDPR,5860,protein_coding,-0.0525931,3.163809004,0.524745149,0.470647601,0.531751648
ENSG00000008869,HEATR5B,54497,protein_coding,0.035022005,6.383654505,0.524229448,0.470864985,0.531967162
ENSG00000146122,DAAM2,23500,protein_coding,-0.18149489,2.72245917,0.524042572,0.47094445,0.532026843
ENSG00000288823,ENSG00000288823,NA,lncRNA,-0.126268276,-0.741318727,0.523911004,0.471021148,0.532083391
ENSG00000111845,PAK1IP1,55003,protein_coding,0.060220792,2.298629541,0.523549386,0.471152338,0.532201487
ENSG00000145494,NDUFS6,4726,protein_coding,-0.065541445,1.417614894,0.523141772,0.471324955,0.532366361
ENSG00000174233,ADCY6,112,protein_coding,-0.118399913,0.673839259,0.522748484,0.471494716,0.532527991
ENSG00000173465,ZNRD2,10534,protein_coding,0.060238515,2.75571832,0.521949116,0.4718289,0.532875299
ENSG00000235888,LINC02940,NA,lncRNA,-0.182136346,-0.79221627,0.521925688,0.471863527,0.532884273
ENSG00000108523,RNF167,26001,protein_coding,0.036190413,6.324574694,0.521621997,0.471967242,0.532971263
ENSG00000274667,ENSG00000274667,NA,lncRNA,-0.127807441,-0.631869222,0.521565061,0.472008917,0.532988189
ENSG00000273812,LINC02970,NA,lncRNA,0.113231849,0.483202018,0.520173312,0.472584585,0.533608058
ENSG00000237990,CNTN4-AS1,NA,lncRNA,-0.17182831,-1.393245495,0.518431901,0.473157283,0.534215206
ENSG00000114054,PCCB,5096,protein_coding,-0.04182128,3.785653178,0.518774583,0.473175796,0.534215206
ENSG00000172530,BANP,54971,protein_coding,0.044114454,6.330529454,0.518540474,0.473275331,0.534297378
ENSG00000058063,ATP11B,23200,protein_coding,0.039419886,7.162789395,0.517554071,0.473695304,0.534741273
ENSG00000121101,TEX14,56155,protein_coding,-0.164290291,-1.274288763,0.517087899,0.473932844,0.534979187
ENSG00000168427,KLHL30,377007,protein_coding,0.186014529,-1.277473153,0.51641224,0.474079828,0.535114859
ENSG00000235109,ZSCAN31,64288,protein_coding,-0.141510723,-0.809834146,0.516552203,0.47414609,0.535159407
ENSG00000200648,RNU6-226P,106481249,snRNA,-0.145330023,-0.248915252,0.516364107,0.47422104,0.535202435
ENSG00000162543,UBXN10,127733,protein_coding,0.094883298,1.371860287,0.516284258,0.474237808,0.535202435
ENSG00000241772,ENSG00000241772,NA,lncRNA,0.099179893,1.683450044,0.515857316,0.474419728,0.535377489
ENSG00000248019,FAM13A-AS1,285512,lncRNA,-0.071325212,6.008644145,0.515039878,0.474768508,0.535740813
ENSG00000279494,ENSG00000279494,NA,lncRNA,0.194153769,-1.41304154,0.514982743,0.474834917,0.535785478
ENSG00000177058,SLC38A9,153129,protein_coding,-0.041001786,3.484930423,0.514600881,0.474956386,0.535892263
ENSG00000174886,NDUFA11,126328,protein_coding,-0.051147464,3.808237272,0.514524486,0.474989047,0.535898839
ENSG00000156256,USP16,10600,protein_coding,-0.029833844,5.018459339,0.514294029,0.475087647,0.535979804
ENSG00000125352,RNF113A,7737,protein_coding,-0.051174847,3.224670066,0.51357647,0.475395115,0.536296387
ENSG00000227615,ENSG00000227615,NA,processed_pseudogene,-0.095271213,1.432113801,0.512854797,0.475595284,0.536491896
ENSG00000089057,SLC23A2,9962,protein_coding,-0.036459641,5.64681824,0.512709678,0.475766729,0.536654982
ENSG00000262038,ENSG00000262038,NA,lncRNA,0.181390324,-1.50609808,0.512580212,0.475858306,0.536727965
ENSG00000256263,DDX11L8,NA,unprocessed_pseudogene,0.152812527,-0.376778168,0.511773666,0.476190891,0.537072763
